subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
Economics,1998,Given that B = Births D = Death X = Emigrants M = Immigration The population of a country over a period of time will rise if?,B = D and X > M,B - D = O and M > X,D - B = O and M = X,X > M and D > B,B
Economics,1998,The short-run period in production is defined as a period when?,there is at least one fixed factor,all costs of production must be covered,the output cannot be varied,current output is not profitable,A
Economics,1998,Specialization often improves economic performance because it?,permits exploitation of economies of scale,incorporates external economies,is based on the law of variable proportions,allocates resources according to absolute advantage,D
Economics,1998,Which of the following statements best describes the relationship between average product and marginal products?,Marginal product and average product curves rise and falls together,Marginal product equals average product at the minimum point of the latter,Average product curve will rise as product is greater than average product,Marginal product at the maximum point of the fomer,B
Economics,1998,"When a firm is reaping economies of large-scale production, it experiences a fall in its?",long-run marginal cost,long-run average cost,long-run total cost,short-run marginal cost,B
Economics,1998,"If an increase in the price of a commodity leads to increase in total revenue, then it means that the demand for this commodity is?",normal,elastic,inelastic,abnormal,C
Economics,1998,"Given that the elasticity of demand for a commodity is 2.5, the percentage change in the quantity demanded as a result of a 10 percent change in it price is?",0.25,0.40,4.00,25.00,D
Economics,1998,The producer in a perfectly competitive market is faced with a demand curve whose elasticity is?,unitary,greater than one,infinite,less than one,C
Economics,1998,"Unlike the retailer, the wholesaler provides?",useful information to the manufacturer about consumers'taste,after-sales services to the consumers,useful information to the costumers on the benefits and uses of the product,useful information about market trends and finance to the manufacturer,D
Economics,1998,Liquidation of limited liability company implies that the?,company may not pay its debt,debts of the company can only be paid from its own assets,debts of the company are paid from both business and private funds of the owners,debts of the company musts be paid from public funds only,B
Economics,1998,One form of business organization which is not motivated solely by the profit objective is the?,joint stock company,private limited company,co-operative society,ordinary partnership,C
Economics,1998,Which of the following can have their shares quoted on the stock exchange?,Public corporations,A partnership,A consumer corporative,A public limited liability company,D
Economics,1998,The sector that employs the largest proportion of the active labour force in Nigeria is the?,oil sector,federal civil services,financial sector,agricultural sector,D
Economics,1998,An entirely domestic effort directed at improving agricultural production in Nigeria is the?,Agricultural Development Programme,Agro-industrial Development Scheme,Food and Agricultural Organization,National Land Development Authority,A
Economics,1998,A factor that influences the location of a firm near its market is the?,transportation of bulky raw materials,external economies,high cost of transporting finished goods,availability of skilled manpower,C
Economics,1998,"In many developing countries, infrastructural problems is acute due to the shortage of?",industries and industrial equipment,"savings, investment and consumption",natural resources for development,supporting services that encourage economic activities,D
Economics,1998,Export-promotion policy is primary concerned with the?,processing of raw materials to increase their value,making of international routes safe for export commodity,reduction in the number of imported items,encourage of the production of export commodities,D
Economics,1998,The petroleum industry in Nigeria is?,the sole source of the nation's revenue,the oldest industry in the country,the mainstay of the economy,a factor in the decline in the nation's foreign reserves,C
Economics,1998,Crude petroleum is a good example of a?,lasting asset,wasting asset,synthetic product,costless resources,B
Economics,1998,One of the techniques of monetary control used by the Central Bank of Nigeria is?,selective credit control,budget deficit,foreign exchange control,monitoring the general price level,C
Economics,1998,Which of the following is true about the value of money?,it varies inversely with the price level,it varies directly with the price level,it depreciates in the period of deflation,it is not affected by the price level,A
Economics,1998,"If the reserve requirement for commercial banking in Nigeria were 30%, a commercial bank which receives an initial cash deposit of N3000 is in a position to lend out?","N9,000","N3,330","N2,770","N2,100",D
Economics,1998,An issue of bank-notes not backed by gold but by government securities is known as?,fiduciary isssue,guaranteed money,seignior age,legal tender,A
Economics,1998,A rise in the market price of fixed interest securities is an indication that the?,supply of money has decreased,liquidity preference has increased,market rate of interest has risen,market rate of interest has fallen,C
Economics,1998,An increase in government expenditure will lead to?,investment opportunities for foreign investors,an increase in the level of aggregate demand,an increase in total tax revenue,reduction in total tax revenue,B
Economics,1998,"When an indirect tax is levied on the producer of a good, the burden on the consumer will depend largely on the?",elasticity of demand for the good,proportion of the consumer's income spent on the good,elasticities of demand and supply of the commodity,availability of substitiutes for the commodity,A
Economics,1998,"If a government wants to reduce the level of inflation, it will?",run a budget surplus,run a budget deficit,run a balanced budget,borrow more money,D
Economics,1998,"If a country's national income increased from N1000 billion over a period of 2 years, what was the average annual rate of growth of national income over the period?",5%,15%,20%,100%,A
Economics,1998,A fall in the marginal propensity to save will lead to?,a decrease in national income,an increase in national income,no change in national income,an increase in disposable income,A
Economics,1998,The major objective of economic growth is to?,redistribute income and other benefits of growth,equalize opportunities for education and employment,increase the aggregate expenditure on goods and services,increase real per capital income,D
Economics,1998,Which of the following is a transfer payment?,Dividend to a shareholder,Gift to a mothers less babies' home,Salary to a worker,Rent to a landlord,A
Economics,1998,The family Support Programme in Nigeria essentially focuses on?,the generation of employment,the alleviation of poverty,agricultural and industrial development,economic emancipation of women,D
Economics,1998,"Economically, underdeveloped countries are characterized by?",high rate of population growth and low rate of economic growth,high rate of economic growth and low rate of population growth,high rate of population growth aand high rate of economic growth,low rate of population growth and low rate of economic growth,A
Economics,1998,One of the major consequences of urban-biased development programmes in Nigeria is that they?,led o rapid rural-urban migration,led to unprecedented urban wealth,transformed rural areas into urban centres,increased the level of specialized manpower inthe cities,A
Economics,1998,Development plans have not been successful in some developing countries largely because of?,very large working population,increase level of consumption,scarcity of industrial raw materials,shortage of skilled labour and experts,D
Economics,1998,The balance of visible trade is the difference between the values of?`,imported and exported goods,imported and exported services,current account and capital account,exchange rate of local and foreign currencies,A
Economics,1998,"If a country has a balance of payments surplus on current account, this means that?",total invisible export is greater than invisible import,the value of goods exported must be greater than the value of goods imported,there must be a positive balance of capital account,the aggregate of the balance of trade and the invisible balance must be positive,D
Economics,1998,"If a country operates a freely floating exchange rate system, and suffers a balance of payments deficit can be eliminated through?",a rise in the external value of its currency,a fall in the external value of its currency,an increase in the volume of imports,the consumption of more foreign goods,B
Economics,1998,The Economic Commission for Africa was set up by the?,UNO,ECOWAS,OAU,IMF,A
Economics,1998,"[Figure required]
In the diagram above, full employment is indicated by",L,M,N,P,B
Economics,1998,"[Figure required]
From the table above, the total utility for the individual who consumes 3 units of commodity X is",50 units,150 units,230 units,250 units,C
Economics,1998,"[Figure required]
Population Statistics of a Country. The dependency ratio between 1960 and 1990 is",increased by 5%,increased by 2%,decrease by 2%,decrease by 5%,C
Economics,1998,"[Figure required]
Population Statistics of a Country. In 1990, the difference between the dependent population and the active population ratio is",22%,20%,16%,4%,C
Economics,1998,"[Figure required]
What is the average total cost when output is 200 units in the table above is",N1.00,N2.0,N1.20,N2.40,C
Economics,1998,"[Figure required]
In the diagram above, the price P 2 in price control situation, is referred to as",minimum price,markup price,maximum price,mark-down price,C
Economics,1998,"[Figure required]
The shaded triangle in the diagram above is known as",excess supply,consumer surplus,excess consumption,producer surplus,B
Economics,1998,"[Figure required]
In the diagram above, D o D o is the original demand curve, S o S o is the original supply curve, D 1 D 1 is the new demand curve. What is the new equilibrium quantity?",Q 1,Q 2,Q 3,Q 4,B
Economics,1998,"[Figure required]
In the diagram above, profit is maximized at 1 he output level",ON,OK,OL,OF,C
Economics,1991,"In market economy, the question of what, how and for whom to produce are solved the",elected representative,planning committe,price mechanism,government,C
Economics,1991,Economic goods are termed scarce goods when they are?,not available in sufficient quantities to satisfy all wants for them,not produced in sufficient quantities to satisfy the effefctive demand for them,of high quality,of primary importance in satisfying the needs of a society,A
Economics,1991,"A school girl who needs a book and mirror, each coasting five naira, decides to purchase the book instead of the mirror since she cannot pay for the two at the same time. Determined the real cost of her book.",The five naira she spent on the book,Five naira real cash value,the mirror,The book,C
Economics,1991,Macroeconomics is a study of economics science from the point of view of?,resource markets or production units,individual producers or consumers,aggregate or general economy,companies or individual firms,C
Economics,1991,"If units of a variable factor are increasingly added to a fixed factor and the marginal physical product keeps increasing, production is said to be taking place under conditions of?",increasing returns to the variable factor,increasing returns to scale,constant returns to variable factor,external economies of scale,A
Economics,1991,"At any given level of output, the total cost of a firm equals the?",marginal cost plus the average cost,fixed costs less its varriable cost,average cost multiplied by variable costs,economic costs multiplied by variable costs,C
Economics,1991,"At any given level of output, a firm's total variable cost equals ?",total cost less marginal cost,total cost less total fixed costs,total cost less average cost,average variable cost and marginal cost,B
Economics,1991,"If the price of a ball point pen falls from N1.00 to N0.60 and the quantity demanded increases from 200 to 300, the point elasticity of demand is equal to?",1.25,0.80,0.50,0.40,A
Economics,1991,"If a society is operating on the production possibility curve, this implies that the resources are?",fully and efficiently utilized,fully but inefficiently utilized,efficiently but not fully utilized,abundant,A
Economics,1991,A market is in disequilibrium if?,the quantity purchased is greater than quantity sold,the quantity sold differs from the quantity purchased,"at a lower price, a large quantity is sold",the quantity demand differs from the quantity supplied,D
Economics,1991,The cross-elasticity of demand between complementary goods is?,unitary,positive,zero,negative,D
Economics,1991,Resources are efficiently allocated when production takes place at that output where price equals?,marginal revenue,average variable cost,marginal cost,toal cost,C
Economics,1991,Comparison of the price and output decisions of a perfectly competitive firm with those of a monopolist shows that the?,monopolist charges a lower price than the perfect competitior,perfect competitior charges a lower price and produces a large output than the monopolist,perfect competitior produces a smaller output than the monopolist,monopolist charges a lower price and produces a larger output than the perfect competitor,B
Economics,1991,"In a perfectly competitive market, the firm is in long-run equilibrium at the output where?",marginal cost is minimum,average cost is minimum,total cost is minimum,marginal cost revenue is maximum,B
Economics,1991,The ordinary partner in a partnership?,takes no active in the management of the business,has limited liability in case of business failure,has unlimited liability in case of business failure,cannot be sued personally on matters relating to the business,C
Economics,1991,A possible factor which limits the extent of growth of a firm is the?,existence of a monoploy,bureaucratic delays in decision-making,use of by-products,unwillingness to share ownership and control,D
Economics,1991,One of the most outstanding disadvantages of co-operative societies as business organization is that?,true spirit of co-operation is marred by delegated authority,members show much interest,it is poorly financed,membership interest is centred on sharing of essential commodities,C
Economics,1991,A disadvantage of a joint-stock company is?,unlimited liability,limited liability,continuity,loss of controlling interest,D
Economics,1991,A characteristic of a debenture is that?,its yeild is based on profits,its yeild is a fixed rate of interest,it has no redemption date,there is a voting right when interest is paid,B
Economics,1991,Industries tend to be located closer to market centers than to the sources of major raw materials if the?,products are relatively cheap to transport to market centers,products are relatively more expensive to transport than the major raw materials,raw marterials are bulky,raw marterials can also be imported,B
Economics,1991,One disadvantage of trade by barter is that?,people are happier when they exchange the same quantities of goods through the medium of money rather than by barter,the person wishing to buy good X may not have good Y which is what the other wants,one person must always be cheated when trade takes place by barter,it increases the intial cost of producing goods,B
Economics,1991,One of the functions of Development Banks is to,mint money for the development of the economy,provide short-term loans to commercial banks,provide medium and long-term finance for the development of the banking system,provide medium and long-term finance for the development of the economy,D
Economics,1991,"To perform its function as a store of wealth and standard for deferred payment, money must be",portable,in attractive form,stable in value,spent more on capital goods than on consumer goods,C
Economics,1991,Fiduciary issue is that part of?,the issue of notes backed entirely by gold,a country's currency which is not negotiable,the issue of notes not backed by gold,a country's currency officially issued,C
Economics,1991,An effect of inflation is that it?,discourages trade by barter,favours debtors at the expense of creditors,increases the real income of salary earners,increases the value of a country's exports,B
Economics,1991,Banks aid economic expansion and development by?,being very strict in lending policies,mobilizing savings for investment lending,paying interest on deposit accounts,charging high interest on loans,B
Economics,1991,The term 'Stock of Capital 'means?,amount of money necessary to start a business,total amount receivable by all factors of production,amount of equipment plant and inventory existing at a time,total amount available for economic development,C
Economics,1991,A tax that takes an increasing fraction of income as income goes down is called?,conditional,regressive,progressive,proportional,B
Economics,1991,Budget deficit is the amount by which?,total expenditure exceeds revenue,recurrent expenditure exceeds revenue,capital expenditure exceeds revenue,recurrent expenditure exceeds capital expenditure,A
Economics,1991,The average tax rate is defined as,total tax rate less the marginal tax rate,the tax rate which applies to additional value income,the ratio of total taxes paid to total income,marginal tax rate for being progressive,C
Economics,1991,Personal distribution of income implies?,the way in which income is distributed among specific households or spending units,the distribution of income according to basic resources,dividing income according to industries,"dividing income between personal taxes, consumption expenditures and savings",A
Economics,1991,One of the advantages of international trade is that it?,increases world output,encourages economic independence among nations,restricts spread of technical knowledge,promotes self-reliance and satisfaction with only what can be produced internally,A
Economics,1991,there is an improvement in the terms of trade of a country if?,a large quantity of exports is given up to obtain a unit of imports,the volume of exports is greater than the volume of imports,a smaller quantity of exports is given up to obtain a unit of imports,the value of exports is greater than the value of imports,D
Economics,1991,"Under flexible exchange rates, a deficit could be corrected by?",freezing the gold point,appreciation of other currencies,removing export subsidies,removing tariffs,B
Economics,1991,The higher the the dependency ratio the?,larger the proportion of the employed relative to the unemployed,smaller the proportion of the active labour force relative to the inactive,smaller the number of the non-working age groups relative to the active labour force,lower the birth rate,B
Economics,1991,The age distribution of a country's population is of economic importance because it affects the?,pattern of expenditure,size of the army,optimum size of firms,location of industries,A
Economics,1991,It is important to measure the National Income of a country because?,it is a major determinant of the standard of living,it reveals hazards of development like pollution and congestion,it reveals the distribution of the citizen's savings in foreign banks,its size determines the extent of political stability,A
Economics,1991,The Gross Domestic Product is defined as the total value of?,all final goods and services produced in a country during the year,all assets of a country in a particular year,exports net of total value of imports,all receipts,A
Economics,1991,"In the national income and product accounts, double counting is avoided if?",only final goods counted,only intermediate goods are counted,only intermediate and final goods are counted,the value of all goods and services are added together,A
Economics,1991,"If W stands for wages/salaries, P for profit, R for interest and Z for rent on land real estate, then national income is?",W -P - R - Z,W + P + Z - R,P - R - Z + W,W + P + R + Z,D
Economics,1991,A major obstacle to economic development is?,a rise in industrial output,low farm productivity,free trade,ineffective trade unions,B
Economics,1991,"[Figure required]
Consider the following diagram where XYZ represents the average curve of a firm. XY shows that as out put increases the average declines. However, this decline cannot continue indefinitely because",managerial economies,indivisibilities,the extent of the market,the pooling of dissimilar risks,B
Economics,1991,"[Figure required]
The firm portrayed is selling in",a purely competitive market,a market in which demand elastic at all prices,an imperfectly competitive markket,a market in which companies produce homogeneous commodities,D
Economics,1991,"[Figure required]
Demand is relatively inelastic",at P 2 range,in the P 2 P 4 price range,at P 3 only,at any price below P 2,A
Economics,1991,"[Figure required]
Consider the table which shows output (o), total cost (TC)of production and marginal cost (MC) for a firm in a competitive market. Suppose price (P) = N 12, what is the maximum profit the firm can make ?",N2000.00,1 200.00,1000.00,400.00,B
Economics,1991,"[Figure required]
The excess profit made by the firm in the short-run is represented by",ORTZ,OPVY,ORTW,ORSX,A
Economics,1991,"[Figure required]
The long-run equilibrium price and quantity for the firm are respectively","OP,OY","OR,OZ","OR,OX","OQ,OZ",C
Economics,1991,"[Figure required]
The value of total output in the economy using the value added approach is",N57.00,37.00,20.00,15.00,C
Economics,1991,"In combining inputs x and y, the entrepreneur obtains the maximum output from a given money outlay when",$ \begin{matrix} P_ x = P _ y \\ MP _ x = MP _ y \end{matrix} $,$\begin{matrix} MP _ x = P _ x \\ MP _ y = P _ y \end{matrix}$,P x . MP x = P y . MP y,P x P y = MP x . MP y,A
Economics,1991,"[Figure required]
Which of the following statements must hold if price discrimination is to be possible?",Elasticities in the various markets must not differ,The seller must recognise the possibility of resale,The market must not be separated but integrated,The markets should be seperable and there should be no resale.,C
Economics,2001,"If the price elasticity of demand for a good is 0.43, an increase in the price of the good will result in?",an increase in profit by 43%,a net gain,a decrease in profit 43%,a net loss,B
Economics,2001,"In a free market economy, the price system allocates resources?",under government's directives,to ensure general welfare,to their best alternatives,to reduce poverty,C
Economics,2001,"At the consumer equilibrium, the slope of the indifference curve is?",half the slope of the budget constraint line,equal to the slope of the budget constraint line,greater than the slope of the budget constraint line,less than the slope of the budget constraint line,B
Economics,2001,"For a supply curve, an increase in the price of a commodity will result in?",a decrease in supply,a decrease in the quantity supplied,an increase in supply,an increase in the quantity supplied,D
Economics,2001,A normal good with close substitutes is likely to have its price elasticity of demand?,between zero and one,equal to unity,less than unity,greater than unity,D
Economics,2001,Economics is regarded as a social science because it?,adopts the scientific method in production,is an agent of socialization,adopts the scientific method in the study of human behaviour,adopts the scientific method with social problems,C
Economics,2001,A change in supply is best described as a?,movement along the supply curve,shift of the supply curve to the left or to the right,shift of the supply curve to the left,shift of the supply curve to the left,B
Economics,2001,"When a generalization is made based on observed facts, it is known as?",deductive reasoning,inductive reasoning,theoretical reasoning,normative reasoning,B
Economics,2001,A major problem facing all economies is how to?,increase consumption of imported goods,improve trade among nations,transform from a developing to a developed economy,allocate scarce resources,D
Economics,2001,A vertical supply curve indicates that?,the quantity supplied is responsive to price,the same fixed quantity will be supplied no matter the price,an increase in price will result in an increase in the quantity supplied,there is a fixed price for the commodity below which no supply will be made,B
Economics,2001,"In a demand curve, the relationship between price and quantity is?",indeterminate,direct,nil,inverse,D
Economics,2001,"If the arithmetic mean of 1,2,3,4,5,6,x, 16 and 18 is 8.0, find the value of x?",7.0,6.0,8.5,17.0,D
Economics,2001,The fixing of the price of an item above or below the equilibrium price is most likely to take place in a?,centrally planned economy,free market economy,developed economy,mixed economy,B
Economics,2001,A consumer's scale of preference is an arrangement of his?,scarce resources in order of importance,needs in order of importance,sources of income and their importances,requirements and how to satisfy them,B
Economics,2001,A firm's shut-down point is reach when the average revenue fails to cover the?,average variable cost,marginal cost,average total cost,average fixed cost,B
Economics,2001,Internal economies of scale are expected to bring about?,an increase in short-run average cost,an increase in long-run average cost,a decrease in long-run average cost,a decrease in short-run average cost,C
Economics,2001,"In the long-run, a monopolist maximized his profit when the marginal cost equals?",total revenue,marginal revenue,average revenue,price,D
Economics,2001,The long run is a period during which a firm?,sells inputs to purchase fixed assets,varies all its inputs,sources all its inputs from within,replaces all its inputs,B
Economics,2001,An important feature of perfect competition is that?,the movement of goods and services is restricted,there is adequate knowledge of existing prices,prices are centrally administered,individual economic units can influence prices,B
Economics,2001,"If government fixes price below the equilibrium price, what effect will it have on demand?",Quantity demanded and supplied will be equal,Quantity supplied will be greater than quantity demanded,Quantity demanded will increase,Quantity demanded will decrease,C
Economics,2001,An imperfect market exist where?,the product is homogenous,there is perfect information among sellers,both buyers and sellers have free entry into and free exits from the market,the location of some sellers gives them an advantage over others,D
Economics,2001,A production function relates?,cost to output,wages to profit,cost to input,output to input,D
Economics,2001,A major advantage of specialization and division of labour is that?,time wastage will be minimized,trade unions will be encouraged,there will be a ready market for labour,workers will be adequately rewarded,A
Economics,2001,Which of the following is an example of a fixed cost?,Fuel cost,Electricity bill,Rent on building,Transportation cost,C
Economics,2001,"In the agricultural sector, improved extension services facilitate?",acquistion of techniques,arable crop production,mobility of labour,livestock production,A
Economics,2001,A disadvantage of concentrating industries in an area is that it could?,lead to conclusion among the firms,result in evironmental pollution,bring about diseconomies of scale,increase the cost of production,B
Economics,2001,The losses suffered by a sole proprietor are?,usually equal to the amount invested,usually less than the amount invested,limted to the amount invested,not limited to the amount invested,D
Economics,2001,"To facilitate the exportation of crude oil from Nigeria, special?",airstrips were constructed for jets to evacute the oil,roads were built to connect the major oil wells to the ports,pipelines were laid to connect the major oil wellsto the ports,railway lines were constructed to connect the major oil wells to the ports,C
Economics,2001,An industry is?,company producing unrelated commodities,group of firms producing related commodities,group of firms producing distinct commodities,firms producing differentiated commodities,B
Economics,2001,The raising of funds by selling stocks to the public is called?,equity financing,stock financing,debt financing,loan financing,A
Economics,2001,A tax that increases at a higher percentage as income increase is called?,a proportion tax,a regressive tax,a progressive tax,an income tax,C
Economics,2001,The price paid for labour services is the?,commission rate,wages rate,income rate,salary rate,B
Economics,2001,The capital market is a market for trading of financial assets such as?,bankers' acceptances,treasury bills,long-term securities,commercial papers,C
Economics,2001,"In national income accounting, NNP is derived by subtracting from the GNP?",transfer payments,indirect taxes,allowance for wastage,capital consumption,D
Economics,2001,Economic growth can be accelerated through?,balancing of savings and consumption,postponement of current consumption,planned current consumption,increased current consumption,C
Economics,2001,An increase in the discount rate is an indication of a central bank's intention to pursue?,an expansionary monetary policy,a disciplined monetary policy,a dynamic monetary policy,a contractionary monetary policy,A
Economics,2001,The efficiency of labour can be increased by?,constant training of workers,retirement of workers on a regular basis,engaging expatrirates only,placing an embargo on recruitment,A
Economics,2001,"In Nigeria, revenue sharing from the federation Account is between the?","executive, the judiciary and the legislature",federal and state governments and the parastatals,federal and state governments and the senate,"federal, state and local governments",D
Economics,2001,The reduction of high fertility rate is a measure in population control designed to make the?,female population higher than the male,female and male population equal,male population higher than the female,growth in population more sustainable,D
Economics,2001,National debts is an expected outcome of?,deficit budget,consolidation budget,balanced budget,surplus budget,A
Economics,2001,The distribution channel that contributes most to the cost of production is?,producer-wholesaler-consumer,producer-retailer-consumer,producer-retailer-wholesaler-consumer,producer-wholesaler-retailer-consumer,D
Economics,2001,Money may not be accepted as a store of value if?,its value is unstable,it is easily transferable,its value is stable,it is easily divisible,A
Economics,2001,"In order to accelerate economic development, a country must?",stimulate her population growth rate,pursue a high population growth rate,pursue a rational population policy,pursue an incremental population policy,C
Economics,2001,"If the labour force in a given community is 2,000,000, in the wage employment 200,000 and the unemployed are 80,000, what is the unemployment rate in the community?",0.4%,40.0%,10.0%,4.0%,B
Economics,2001,GNP is not a good measure of social welfare because there are unrecorded?,indirect taxes,social costs,government subsidies,transfer payments,D
Economics,2001,The loans from the World Bank to developing countries are mainly to support?,the establishment of more universities,capital-intensive technology,infrastructural investments,their low level of consumption,C
Economics,2001,The major reason why nations engage in international trade is that?,it allows free movement of factors of production,it makes possible the use of capital-intensive method of production,nations are substantially different in their endowments of economic resources,it affords the trading nations the opportunity to earn high profit,C
Economics,2001,A country with over-valued currency will?,expect balance of payments surplus,have increased demand forthe exports,increase her foreign reserve,decreased her foreign reserve,A
Economics,2001,"[Figure required]
The diagram shows the total utility curve. At the point M, marginal utility",increases,is unity,diminishes,is zero,D
Economics,2001,"[Figure required]
The table above shows a demand schedule for eggs. What is the equilibrium price?",N 100,N110,N60,N80,D
Economics,2008,The deregulation of telecommunication services in Nigeria is a characteristic of,command economy,traditional economy,market economy,feudal economy,C
Economics,2008,The production possibility curve can be used to explain the underlying concepts of,scale of preference and choice,opportunity cost and choice,wants and means,opportunity cost and scale of preference,B
Economics,2008,"If the increase in the price of yams is used to estimate the inflation rate, this is an example of",deductive reasoning,inductive reasoning,normative reasoning,positive reasoning,B
Economics,2008,"If the standard deviation of a given data is 8.2, find its variance",4.1,67.2,82.0,91.8,B
Economics,2008,"If 100 units and 120 units of commodity X are supplied at N80 at different times, it means that there is",a change in supply,a change in the quantity supplied,an increase in the quantity supplied,a increase in the quantity supplied,A
Economics,2008,A major determinant of the demand for a luxury goods is,the price of the goods,the price of other goods,the income of consumers,tastes and fashion,A
Economics,2008,"If income rises from N2000 to N4000 and quantity demanded increase from 80 units to 120 units, find the income elasticity of demand",0.5,1.2,2.5,4.0,A
Economics,2008,"If the demand elasticity coefficient of cars is 0.5, it implies that the demand for petrol is",elastic,perfectliy inelastic,inelastic,perfect elastic,C
Economics,2008,"As long as marginal utility is positive, total utility must be",negative,increasing,zero,decreasing,B
Economics,2008,Diminishing marginal utility implies that,total utility decreases as consumption increases,marginal utility increases as consumption increases,marginal utility deceases as consumption increase,marginal utility decreases as consumption decreases,C
Economics,2008,The excess benefit derived from the purchase of goods over the amount paid for them is referred to as consumer,rationality,surplus,sovereignty,credit,B
Economics,2008,An upward movement along the same supply curve results in,an increase in supply,a decrease in price,a decrease in quantity supplied,an increase in quantity supplied,D
Economics,2008,"To protect farmers during a bumper harvest,. the government usually",set a maximum price,release products from the buffer stock,sell the excess to consumers,set a minimum price,D
Economics,2008,The use of modern weaving machines in the production of local fabric will result in,an increase in the demand for labour,a decrease in the demand for labour,an increase in wages,a decrease in wages,B
Economics,2008,"In a perfectly competitive condition, a firm uses 10 units of labour at N25 and 11 units at N36, what is the marginal cost of labour?",N396,N323,N250,N146,D
Economics,2008,The characteristic of entry and exit ensures that firms,earn excess profit,earn normal profit,break-even,expand their operations,D
Economics,2008,Which of the following producer is closest to being a monopolist?,A baker,A wheat farmer,A large chain store,An automobile plant,D
Economics,2008,The output approach to measuring national income is based on the computation of,final output,factor cost,value added,profits earned,C
Economics,2008,An example of injection into the circular flow of income is,taxes,pensions,imports,exports,D
Economics,2008,The theoretical relationship between money supply and prices is weakened by changes in the,money supply,general price level,velocity of money,interest rate,B
Economics,2008,The high rate of inflation in Nigeria can be attributed to,increasing cost of production,the appreciation of the naira,decreasing cost of production,high capacity utilization,A
Economics,2008,"If the required reserves of a bank is 20% and N10 000 is paid into its demand deposit account, what is the excess reserves?",N2000,N18 000,N12 000,N8 000,D
Economics,2008,Contractionary monetary policy is used to,control inflation,bridge the deflationary gap,expand the output level,deregulate the economy,A
Economics,2008,The use of government revenue and expenditure to achieve set objectives is known as,budget,fiscal policy,revenue allocation,monetary policy,B
Economics,2008,An example of an indirect tax is,profit tax,sales tax,capital gain tax,poll tax,B
Economics,2008,A good indicator of economic development is an increase in,gross national product,per capital income,real national income,real per capital income,B
Economics,2008,Economic growth takes place when there is an increase in,savings over time,investment over time,population over time,output over time,D
Economics,2008,One of the effects of instability in farmer's income in Nigeria is,lack of infrastructural facilities,rural-urban migration,inadequate supply of fertilizer,low level of technology,A
Economics,2008,A major impediment to the development of agriculture in Nigeria is,land use system,inadequate supply of farm inputs,low income of farmers,limited research on seedlings,B
Economics,2008,A major consideration in locating a cement factory is the availability of,skilled labour,power,infrastructural facilities,limestone,D
Economics,2008,The exports-promotion strategy is aimed at producing,consumer goods originally imported,machinery for industries,more goods for exports,more goods domestic consumption,C
Economics,2008,The activities in the oil and gas industry are classified into,exploration and transportation,upstream and downstream,discovery and extraction,onshore and offshore,B
Economics,2008,The economic policy of privatization came up as a result of the poor performance of,commercial banks,small-scale businesses,public enterprises,private enterprises,C
Economics,2008,Joint-stock companies can raise funds from,the money market,the capital market,various sources,government,C
Economics,2008,The active population of a country determines the size of its,economic resources,national income,labour force,gross domestic product,C
Economics,2008,The population of a country will decrease if,the death rate exceeds the birth rate,immigration is equal to emigration,the birth rate exceeds the death rate,there is rapid economic growth,A
Economics,2008,The OPEC marketing policy of fixing minimum price allows members to,sell above minimum price,sell below minimum price,determine the price and quantity to sell,negotiate price with customers,A
Economics,2008,A major trading problem facing ECOWAS is,the absence of common currency,political instability,high poverty level,non implementation of decisions,A
Economics,2008,A high rent on land will affect the cost of producing maize,at the early stage of production,negatively,at the later stage of population,positively,B
Economics,2008,If the active population is 50 million and unemployed is 5 million what is the unemployment rate?,10%,45%,55%,90%,A
Economics,2008,A classroom teacher is promoted to the rank of a principal. This is an example of,vertical mobility,lateral mobility,social mobility,horizontal mobility,A
Economics,2008,"[Figure required]
In the diagram above, there is an excess",demand for 30 units,supply of 40 units,demand for 20 units,supply of 20 units,B
Economics,2008,"[Figure required]
From the graph above , point M shows that MC",cuts AC at its minimum point,and AC rises simultaneously,cuts AC at its maximum point,is falling,C
Economics,2008,"[Figure required]
From the shaded area of the diagram above, an appropriate population policy will be to",encourage early marriages,discourage immigration,discourage polygamy,encourage the use of contraceptives,A
Economics,2008,"Use the data below to answer this questions 54, 36, 62, 79, 83, 36, 62, 42, 62, and 42. Calculate the mean?",45.5,55.6,55.8,65.8,C
Economics,2008,"Use the data below to answer this questions 54, 36, 62, 79, 83, 36, 62, 42, 62, and 42. What is the modal score?",36,42,54,62,D
Economics,2008,Use the information below to answer this question. Given that Q d = 20 - 4P and Q = 6P + 12 Determine the equilibrium quantity,14.2,16.8,20.8,30.2,B
Economics,2008,"Use the information below to answer this question. Given that Q d = 20 - 4P and Qs = 6P + 12 If price is increased to N3, how much is the excess supply?",30,22,12,8,B
Economics,2008,One of the factors affecting the supply of manufactured goods is,Weather,Technology,Consumer tastes,Availability of inputs,B
Economics,2008,Individual markets differ from each other according to,The degree of competition,The volume of trade,The number of buyers,It's composition,A
Literature,1997,This question is based on Wole Soyinka's The Trials of Brother Jero. Which of the following qualities best describes Jero's ability to keep his followers?,He is a man of God,He distributes gifts to his followers,He foretells their future,He manipulates them,D
